"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Stephens","3521","70","213"
"Male","Stephens","2806","69","201"
"Unknown","Stephens","22","0","0"
"Female","Stewart","797","10","42"
"Male","Stewart","1591","22","115"
"Unknown","Stewart","43","0","0"
"Female","Sumter","2408","74","252"
"Male","Sumter","1786","85","225"
"Unknown","Sumter","14","0","0"
"Female","Talbot","563","11","37"
"Male","Talbot","455","21","53"
"Unknown","Talbot","3","0","0"
"Female","Taliaferro","105","0","4"
"Male","Taliaferro","91","3","16"
"Unknown","Taliaferro","1","0","0"
"Female","Tattnall","1799","45","98"
"Male","Tattnall","1785","39","98"
"Unknown","Tattnall","4","0","0"
"Female","Taylor","670","22","65"
"Male","Taylor","565","19","61"
"Unknown","Taylor","10","0","0"
"Female","Telfair","648","25","40"
"Male","Telfair","663","34","60"
"Unknown","Telfair","14","0","0"
"Female","Terrell","720","34","97"
"Male","Terrell","528","32","84"
"Unknown","Terrell","10","0","0"
"Female","Thomas","5445","102","358"
"Male","Thomas","3968","86","320"
"Unknown","Thomas","17","0","0"
"Female","Tift","3659","80","354"
"Male","Tift","2957","90","271"
"Unknown","Tift","26","0","0"
"Female","Toombs","3298","85","147"
"Male","Toombs","2488","90","156"
"Unknown","Toombs","1","0","0"
"Female","Towns","1271","43","114"
"Male","Towns","999","46","111"
"Unknown","Towns","19","0","1"
"Female","Treutlen","609","28","36"
"Male","Treutlen","588","21","37"
"Unknown","Treutlen","11","0","1"
"Female","Troup","7701","171","420"
"Male","Troup","5982","160","354"
"Unknown","Troup","44","0","1"
"Female","Turner","603","20","69"
"Male","Turner","585","28","66"
"Unknown","Turner","14","0","0"
"Female","Twiggs","637","20","74"
"Male","Twiggs","516","35","92"
"Female","Union","2703","70","201"
"Male","Union","2235","79","246"
"Unknown","Union","25","0","0"
"Female","Unknown","4779","1","34"
"Male","Unknown","4559","2","58"
"Unknown","Unknown","945","0","12"
"Female","Upson","2727","95","211"
"Male","Upson","2008","87","180"
"Unknown","Upson","9","0","0"
"Female","Walker","7827","110","305"
"Male","Walker","6933","92","302"
"Unknown","Walker","126","2","8"
"Female","Walton","10056","188","1022"
"Male","Walton","7777","211","854"
"Unknown","Walton","76","0","1"
"Female","Ware","3438","121","318"
"Male","Ware","2806","105","320"
"Unknown","Ware","7","0","0"
"Female","Warren","394","11","46"
"Male","Warren","312","13","31"
"Unknown","Warren","4","0","0"
"Female","Washington","1913","41","80"
"Male","Washington","1533","41","74"
"Female","Wayne","3316","90","253"
"Male","Wayne","2850","94","258"
"Female","Webster","148","5","17"
"Male","Webster","121","4","13"
"Unknown","Webster","3","0","0"
"Female","Wheeler","305","6","9"
"Male","Wheeler","653","29","38"
"Unknown","Wheeler","14","0","0"
"Female","White","3788","64","240"
"Male","White","3268","83","263"
"Unknown","White","25","0","0"
"Female","Whitfield","15539","175","550"
"Male","Whitfield","13734","243","575"
"Unknown","Whitfield","34","0","1"
"Female","Wilcox","400","14","41"
"Male","Wilcox","468","20","56"
"Unknown","Wilcox","3","0","0"
"Female","Wilkes","632","14","74"
"Male","Wilkes","531","25","75"
"Unknown","Wilkes","2","0","0"
"Female","Wilkinson","986","29","78"
"Male","Wilkinson","832","24","92"
"Female","Worth","1420","50","169"
"Male","Worth","1091","45","130"
"Unknown","Worth","11","0","0"
