"age group","county name","cases","deaths","confirmed_case_hospitalization"
"Unknown years","Chattooga","4","0","1"
"01-04 years","Cherokee","1088","0","13"
"05-09 years","Cherokee","1910","0","13"
"10-17 years","Cherokee","5145","0","25"
"18-29 years","Cherokee","9400","3","156"
"30-39 years","Cherokee","7758","10","207"
"40-49 years","Cherokee","7924","16","286"
"50-59 years","Cherokee","7764","59","428"
"60-69 years","Cherokee","5031","109","489"
"70-79 years","Cherokee","3230","167","498"
"80 & Older years","Cherokee","1618","246","403"
"<1 years","Cherokee","389","0","17"
"Unknown years","Cherokee","7","0","0"
"01-04 years","Clarke","690","1","17"
"05-09 years","Clarke","955","0","14"
"10-17 years","Clarke","1877","0","37"
"18-29 years","Clarke","12036","1","183"
"30-39 years","Clarke","4207","3","169"
"40-49 years","Clarke","3136","8","169"
"50-59 years","Clarke","2545","21","203"
"60-69 years","Clarke","1767","48","241"
"70-79 years","Clarke","1101","71","261"
"80 & Older years","Clarke","523","81","182"
"<1 years","Clarke","265","0","12"
"Unknown years","Clarke","1","0","1"
"01-04 years","Clay","17","0","0"
"05-09 years","Clay","18","0","0"
"10-17 years","Clay","45","0","0"
"18-29 years","Clay","64","0","0"
"30-39 years","Clay","61","0","2"
"40-49 years","Clay","55","0","2"
"50-59 years","Clay","39","1","3"
"60-69 years","Clay","35","2","2"
"70-79 years","Clay","24","0","1"
"80 & Older years","Clay","19","3","4"
"<1 years","Clay","5","0","0"
"01-04 years","Clayton","1826","1","34"
"05-09 years","Clayton","3205","1","27"
"10-17 years","Clayton","6569","2","93"
"18-29 years","Clayton","13263","14","366"
"30-39 years","Clayton","12235","45","495"
"40-49 years","Clayton","10244","60","509"
"50-59 years","Clayton","9031","145","702"
"60-69 years","Clayton","5640","238","675"
"70-79 years","Clayton","2257","230","462"
"80 & Older years","Clayton","988","207","292"
"<1 years","Clayton","622","0","32"
"Unknown years","Clayton","26","0","12"
"01-04 years","Clinch","37","0","0"
"05-09 years","Clinch","53","0","0"
"10-17 years","Clinch","137","0","0"
"18-29 years","Clinch","265","0","3"
"30-39 years","Clinch","227","1","5"
"40-49 years","Clinch","196","0","5"
"50-59 years","Clinch","203","3","21"
"60-69 years","Clinch","218","15","27"
"70-79 years","Clinch","109","12","25"
"80 & Older years","Clinch","50","9","12"
"<1 years","Clinch","20","0","0"
