date,wrf,influent_flow_mg,influent_tss_mg_l
8/16/2021,CC,1.69,170
8/18/2021,NO ,7.15,154
8/18/2021,MI ,5.62,324
8/18/2021,CC,2.24,176
8/23/2021,NO ,7.15,154
8/23/2021,MI ,5.62,324
8/23/2021,CC,2.24,176
8/25/2021,NO ,6.1,250
8/25/2021,MI ,3.31,200
8/25/2021,CC,1.73,184
8/30/2021,NO ,5.56,154
8/30/2021,MI ,3.27,220
8/30/2021,CC,1.7,100
9/1/2021,NO ,6.09,152
9/1/2021,MI ,3.55,80
9/1/2021,CC,1.72,208
9/7/2021,NO ,5.56,154
9/7/2021,MI ,3.27,220
9/7/2021,CC,1.7,100
9/8/2021,NO ,5.91,182
9/8/2021,MI ,3.23,212
9/8/2021,CC,1.71,176
9/13/2021,NO ,5.82,292
9/13/2021,MI ,3.25,228
9/13/2021,CC,1.61,244
9/15/2021,NO ,5.86,280
9/15/2021,MI ,3.23,204
9/15/2021,CC,1.5,484
9/20/2021,NO ,5.76,142
9/20/2021,MI ,3.5,284
9/20/2021,CC,1.64,228
9/22/2021,NO ,6.15,172
9/22/2021,MI ,3.47,276
9/22/2021,CC,1.64,420
9/27/2021,NO ,5.22,502
9/27/2021,MI ,3.25,72
9/27/2021,CC,1.56,112
9/29/2021,NO ,5.62,138
9/29/2021,MI ,3.11,64
9/29/2021,CC,1.55,156
10/4/2021,NO ,5.35,278
10/4/2021,MI ,3.32,256
10/4/2021,CC,1.51,204
10/6/2021,NO ,7.05,218
10/6/2021,MI ,6.33,252
10/6/2021,CC,2.46,48
10/11/2021,NO ,5.49,130
10/11/2021,MI ,3.9,128
10/11/2021,CC,1.93,88
10/13/2021,NO ,5.86,278
10/13/2021,MI,3.56,144
10/13/2021,CC,1.79,228
10/18/2021,NO ,5.29,154
10/18/2021,MI,3.47,188
10/18/2021,CC,1.54,176
10/20/2021,NO ,5.51,898
10/20/2021,MI,3.74,252
10/20/2021,CC,1.56,232
10/25/2021,NO ,5.18,696
10/25/2021,MI,3.48,124
10/25/2021,CC,1.69,112
10/27/2021,NO ,5.28,259
10/27/2021,MI,3.34,220
10/27/2021,CC,1.54,184
11/1/2021,NO ,5.18,528
11/1/2021,MI,3.8,172
11/1/2021,CC,1.57,44
11/3/2021,NO ,5.09,222
11/3/2021,MI,3.33,180
11/3/2021,CC,1.53,945
11/8/2021,NO ,4.83,316
11/8/2021,MI,3.37,220
11/8/2021,CC,1.57,228
11/10/2021,NO ,5.23,612
11/10/2021,MI,3.34,280
11/10/2021,CC,1.53,300
11/15/2021,NO ,5.12,538
11/15/2021,MI,3.37,192
11/15/2021,CC,1.58,184
11/17/2021,NO ,5.3,182
11/17/2021,MI,3.31,292
11/17/2021,CC,1.53,324
11/22/2021,NO ,5,341
11/22/2021,MI,3.39,64
11/22/2021,CC,1.56,208
11/29/2021,NO ,4.85,256
11/29/2021,MI,3.31,100
11/29/2021,CC,1.59,372
12/1/2021,NO ,5.24,283
12/1/2021,MI,3.3,146
12/1/2021,CC,1.58,500
12/6/2021,NO ,4.89,111
12/6/2021,MI,3.34,176
12/6/2021,CC,1.7,232
12/8/2021,NO ,5.34,362
12/8/2021,MI,3.32,66
12/8/2021,CC,1.64,392
12/13/2021,NO ,4.76,420
12/13/2021,MI,3.23,212
12/13/2021,CC,1.68,272
12/15/2021,NO ,5.19,188
12/15/2021,MI,3.18,148
12/15/2021,CC,1.47,388
12/20/2021,NO ,4.23,260
12/20/2021,MI,3.14,224
12/20/2021,CC,1.35,184
12/27/2021,NO ,3.61,218
12/27/2021,MI,2.98,148
12/27/2021,CC,1.28,1000
1/3/2022,NO ,7.58,254
1/3/2022,MI,7.19,32
1/3/2022,CC,2.55,108
1/5/2022,NO ,5.19,124
1/5/2022,MI,4.11,92
1/5/2022,CC,2.22,108
1/10/2022,NO ,5.29,404
1/10/2022,MI,3.76,212
1/10/2022,CC,1.83,164
1/12/2022,NO ,5.28,755
1/12/2022,MI,3.38,136
1/12/2022,CC,1.66,278
1/17/2022,NO ,5.58,160
1/17/2022,MI,3.92,116
1/17/2022,CC,1.82,180
1/19/2022,NO ,5.56,162
1/19/2022,MI,3.71,56
1/19/2022,CC,1.76,332
1/24/2022,NO ,5.36,98
1/24/2022,MI,3.6,80
1/24/2022,CC,1.86,144
1/26/2022,NO ,5.46,616
1/26/2022,MI,3.41,180
1/26/2022,CC,1.77,172
1/31/2022,NO ,5.03,72
1/31/2022,MI,3.43,44
1/31/2022,CC,1.73,160
2/2/2022,NO ,5.39,82
2/2/2022,MI,3.37,68
2/2/2022,CC,1.75,200
2/7/2022,NO ,5.43,138
2/7/2022,MI,3.91,72
2/7/2022,CC,2.2,128
2/9/2022,NO ,5.58,104
2/9/2022,MI,3.68,184
2/9/2022,CC,1.95,160
2/14/2022,NO ,4.98,326
2/14/2022,MI,3.5,68
2/14/2022,CC,1.8,456
2/16/2022,NO ,5.31,148
2/16/2022,MI,3.43,72
2/16/2022,CC,1.8,424
2/21/2022,NO ,4.95,318
2/21/2022,MI,3.57,100
2/21/2022,CC,1.79,196
2/23/2022,NO ,6.05,296
2/23/2022,MI,4.39,140
2/23/2022,CC,1.95,212
2/28/2022,NO ,5.7,214
2/28/2022,MI,4.12,92
2/28/2022,CC,1.82,200
3/1/2022,NO ,5.55,230
3/1/2022,MI,3.83,140
3/1/2022,CC,1.73,168
3/7/2022,NO ,4.5,130
3/7/2022,MI,3.71,156
3/7/2022,CC,1.55,120
3/9/2022,NO ,8.14,190
3/9/2022,MI,7.45,240
3/9/2022,CC,2.72,780
3/14/2022,NO ,5.88,634
3/14/2022,MI,4.45,116
3/14/2022,CC,2.26,84
3/16/2022,NO ,7.21,622
3/16/2022,MI,6,104
3/16/2022,CC,2.11,248
3/21/2022,NO ,6.01,428
3/21/2022,MI,4.51,96
3/21/2022,CC,2.39,252
3/23/2022,NO ,6.39,146
3/23/2022,MI,4.54,92
3/23/2022,CC,2.08,550
3/28/2022,NO ,5.55,442
3/28/2022,MI,3.98,96
3/28/2022,CC,1.93,132
3/30/2022,NO ,5.83,202
3/30/2022,MI,3.97,106
3/30/2022,CC,1.89,276
4/4/2022,NO ,4.18,368
4/4/2022,MI,3.81,340
4/4/2022,CC,1.84,184
4/6/2022,NO ,8.19,394
4/6/2022,MI,7.72,120
4/6/2022,CC,3.23,116
4/11/2022,NO ,5.63,148
4/11/2022,MI,4.29,112
